as_of_date,week,game_id,gameday,gametime,away_team,home_team,away_rank,home_rank,away_elo,home_elo,p_away,p_home
2026-09-20,2,2026_02_JAX_DEN,2026-09-20,16:05,JAX,DEN,6,9,1088.1890506382279,1060.6919537597964,0.49495908798314836,0.5050409120168516
2026-09-20,2,2026_02_LV_LAC,2026-09-20,16:05,LV,LAC,31,19,885.8049152599895,975.5247593564176,0.33293964903287143,0.6670603509671286
2026-09-20,2,2026_02_SEA_ARI,2026-09-20,16:25,SEA,ARI,1,23,1190.3956470787593,936.6063246904647,0.7828713649593357,0.21712863504066432
2026-09-20,2,2026_02_WAS_DAL,2026-09-20,16:25,WAS,DAL,21,26,953.1826108453504,928.8896300428411,0.490349022294277,0.509650977705723
2026-09-20,2,2026_02_MIA_SF,2026-09-20,16:25,MIA,SF,29,5,912.1657729875014,1097.1829677108901,0.22382822834032157,0.7761717716596784
2026-09-20,2,2026_02_IND_KC,2026-09-20,20:20,IND,KC,24,15,932.9557192209533,1022.3720558711882,0.3333277836343189,0.6666722163656811
