rank,team,elo
1,SEA,1204.46830802284
2,BUF,1143.3612890513048
3,NE,1113.9318005994367
4,SF,1111.3536705246968
5,MIN,1101.6505259355224
6,DEN,1083.4782081364854
7,LA,1083.1399646631057
8,PHI,1068.655811248412
9,JAX,1065.402796261539
10,HOU,1039.817577286636
11,CIN,1036.7989034207912
12,CHI,1036.0445541542708
13,BAL,1030.2577616771243
14,DET,1026.521720221544
15,KC,1024.8006219388867
16,PIT,1003.8099886349879
17,NO,975.5657680522888
18,ATL,960.7552577966071
19,DAL,960.2213973260497
20,GB,952.6547327626538
21,CAR,950.7776103449825
22,NYG,936.2928679392879
23,LAC,935.3825322658165
24,IND,930.5271531532549
25,TB,930.3994100017187
26,CLE,927.0380435125686
27,LV,925.9471423505905
28,ARI,922.533663746384
29,WAS,921.8508435621418
30,MIA,897.9950701736948
31,NYJ,886.9534427917062
32,TEN,818.5129383845732
